Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Season,Last5AwayOver2.5Perc,Last5HomeOver2.5Perc,HST,Last5AwayOver2.5Count,Last5HomeOver2.5Count,AST,AwayOver2.5Perc,HomeOver2.5Perc,AvgLast5HomeGoalsScored,AvgLast5AwayGoalsScored,AvgLast5AwayGoalsConceded,B365CAHH,AvgLast5HomeGoalsConceded,MaxC>2.5,AvgAwayGoalsScored,AvgHomeGoalsScored,HC,Over2.5
2022-08-13,D1,14:30,Leverkusen,Augsburg,A,D,2022/2023,100.0,100.0,10,1.0,1.0,4,70.59,70.59,1.0,2.0,1.0,2.04,2.0,1.45,1.53,2.06,7,1
2022-08-27,D1,14:30,Hoffenheim,Augsburg,H,H,2022/2023,50.0,50.0,6,1.0,1.0,1,70.59,70.59,2.0,1.0,1.0,1.85,1.0,1.47,1.53,1.65,4,0
2022-09-09,D1,19:30,Werder Bremen,Augsburg,A,D,2022/2023,33.33,66.67,6,1.0,2.0,5,70.59,70.59,1.67,1.0,0.67,2.02,2.33,1.61,1.53,1.53,3,0
2022-10-02,D1,16:30,Schalke 04,Augsburg,A,A,2022/2023,50.0,100.0,5,2.0,4.0,5,70.59,70.59,2.0,1.5,1.0,1.88,3.0,1.85,1.53,1.35,8,1
2022-10-16,D1,14:30,FC Koln,Augsburg,H,A,2022/2023,60.0,60.0,6,3.0,3.0,3,70.59,47.06,1.8,1.6,1.4,2.0,1.2,1.66,1.53,1.65,5,1
2022-10-29,D1,14:30,Stuttgart,Augsburg,H,D,2022/2023,60.0,60.0,8,3.0,3.0,6,70.59,47.06,1.6,1.4,1.6,1.89,1.4,1.61,1.53,1.35,10,1
2022-11-09,D1,19:30,Union Berlin,Augsburg,D,D,2022/2023,80.0,40.0,6,4.0,2.0,2,70.59,47.06,1.8,1.8,1.8,2.0,0.8,2.14,1.53,1.76,6,1
2023-01-22,D1,14:30,Dortmund,Augsburg,H,D,2022/2023,100.0,80.0,10,5.0,4.0,4,70.59,82.35,3.0,2.2,2.6,1.9,1.0,1.43,1.53,3.24,7,1
2023-01-28,D1,14:30,Freiburg,Augsburg,H,H,2022/2023,100.0,40.0,9,5.0,2.0,4,70.59,41.18,2.4,1.8,2.8,1.86,0.6,1.92,1.53,1.65,3,1
2023-02-11,D1,14:30,Mainz,Augsburg,H,H,2022/2023,100.0,80.0,7,5.0,4.0,3,70.59,64.71,2.0,1.6,2.8,2.08,1.8,1.78,1.53,1.82,4,1
2023-02-25,D1,14:30,Hertha,Augsburg,H,D,2022/2023,80.0,40.0,3,4.0,2.0,2,70.59,47.06,1.6,1.4,2.8,1.84,1.6,1.96,1.53,1.41,1,0
2023-03-11,D1,14:30,Bayern Munich,Augsburg,H,H,2022/2023,80.0,60.0,9,4.0,3.0,6,70.59,64.71,2.6,1.6,3.4,1.87,1.0,1.22,1.53,3.12,8,1
2023-04-01,D1,14:30,Wolfsburg,Augsburg,D,A,2022/2023,80.0,80.0,5,4.0,4.0,2,70.59,76.47,1.4,1.4,3.0,2.0,2.4,1.72,1.53,2.0,4,1
2023-04-15,D1,14:30,RB Leipzig,Augsburg,H,H,2022/2023,80.0,100.0,6,4.0,5.0,3,70.59,76.47,1.8,1.6,3.0,2.01,1.6,1.53,1.53,2.24,3,1
2023-04-29,D1,14:30,Ein Frankfurt,Augsburg,D,H,2022/2023,60.0,0.0,1,3.0,0.0,3,70.59,52.94,1.2,1.6,2.6,2.0,0.8,1.66,1.53,2.06,5,0
2023-05-13,D1,14:30,Bochum,Augsburg,H,D,2022/2023,80.0,60.0,8,4.0,3.0,2,70.59,64.71,1.6,2.0,2.8,1.99,2.2,1.82,1.53,1.65,7,1
2023-05-27,D1,14:30,M'gladbach,Augsburg,H,H,2022/2023,60.0,20.0,7,3.0,1.0,3,70.59,52.94,1.6,1.4,2.2,2.01,0.6,1.49,1.53,1.94,4,0
2023-08-27,D1,16:30,Bayern Munich,Augsburg,H,H,2023/2024,100.0,100.0,6,1.0,1.0,2,64.71,70.59,3.0,1.0,3.0,2.0,1.0,1.19,1.41,3.12,10,1
2023-09-16,D1,14:30,RB Leipzig,Augsburg,H,H,2023/2024,100.0,100.0,6,2.0,2.0,4,64.71,58.82,4.0,0.5,3.0,1.98,0.5,1.44,1.41,2.35,1,1
2023-10-01,D1,16:30,Freiburg,Augsburg,H,H,2023/2024,66.67,33.33,3,2.0,1.0,4,64.71,58.82,1.67,0.33,2.67,1.9,1.33,1.99,1.41,1.65,2,0
2023-10-22,D1,16:30,Heidenheim,Augsburg,A,A,2023/2024,75.0,75.0,5,3.0,3.0,6,64.71,58.82,2.25,1.5,2.5,2.13,2.5,1.88,1.41,1.76,6,1
2023-11-04,D1,14:30,FC Koln,Augsburg,D,D,2023/2024,60.0,60.0,12,3.0,3.0,3,64.71,41.18,1.2,1.4,2.2,2.04,1.8,1.71,1.41,0.88,10,0
2023-11-25,D1,14:30,Union Berlin,Augsburg,D,A,2023/2024,40.0,60.0,6,2.0,3.0,2,64.71,58.82,0.2,1.4,1.8,2.01,2.4,2.09,1.41,1.29,3,0
2023-12-09,D1,14:30,Werder Bremen,Augsburg,H,H,2023/2024,20.0,60.0,5,1.0,3.0,1,64.71,70.59,1.6,1.4,1.6,1.98,1.6,1.67,1.41,1.71,5,0
2023-12-20,D1,19:30,Stuttgart,Augsburg,H,H,2023/2024,40.0,60.0,7,2.0,3.0,5,64.71,76.47,2.0,1.4,1.8,2.02,1.0,1.54,1.41,2.94,4,1
2024-01-21,D1,16:30,M'gladbach,Augsburg,A,H,2023/2024,40.0,100.0,4,2.0,5.0,7,64.71,76.47,2.4,0.8,1.6,1.75,1.2,1.61,1.41,1.59,5,1
2024-02-03,D1,14:30,Bochum,Augsburg,D,H,2023/2024,40.0,40.0,4,2.0,2.0,6,64.71,58.82,1.8,0.8,1.6,2.1,0.6,1.82,1.41,1.53,3,0
2024-02-17,D1,14:30,Mainz,Augsburg,H,H,2023/2024,40.0,0.0,4,2.0,0.0,4,64.71,35.29,0.6,0.6,1.6,1.99,0.8,1.99,1.41,1.35,7,0
2024-03-02,D1,14:30,Darmstadt,Augsburg,A,A,2023/2024,60.0,80.0,5,3.0,4.0,6,64.71,64.71,0.6,1.8,1.2,2.05,3.0,1.81,1.41,0.88,3,1
2024-03-16,D1,14:30,Wolfsburg,Augsburg,A,D,2023/2024,60.0,60.0,4,3.0,3.0,5,64.71,64.71,1.4,2.4,0.8,2.04,2.0,1.74,1.41,1.47,8,1
