Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Referee,Season,Last5HomeOver2.5Perc,Last5AwayOver2.5Perc,HST,AST,HomeOver2.5Perc,AvgLast5AwayGoalsConceded,AwayOver2.5Perc,AvgLast5HomeGoalsScored,AvgLast5HomeGoalsConceded,AvgLast5AwayGoalsScored,MaxC>2.5,B365C<2.5,AvgHomeGoalsScored,HR,Over2.5
2022-08-05,E0,20:00,Crystal Palace,Arsenal,A,A,A Taylor,2022/2023,0.0,0.0,2,2,42.11,0.0,47.37,0.0,2.0,2.0,2.19,1.72,1.11,0,0
2022-08-20,E0,17:30,Bournemouth,Arsenal,A,A,C Pawson,2022/2023,50.0,50.0,1,6,47.37,0.0,47.37,1.0,1.5,2.5,1.9,2.1,1.05,0,1
2022-09-04,E0,16:30,Man United,Arsenal,H,H,P Tierney,2022/2023,100.0,66.67,6,3,57.89,1.0,47.37,2.0,1.33,2.0,1.82,2.1,1.89,0,1
2022-09-18,E0,12:00,Brentford,Arsenal,A,A,D Coote,2022/2023,75.0,75.0,2,7,47.37,0.75,47.37,2.5,1.5,2.25,1.81,2.1,1.84,0,1
2022-10-16,E0,14:00,Leeds,Arsenal,A,A,C Kavanagh,2022/2023,40.0,60.0,4,4,63.16,0.6,47.37,1.2,0.6,2.0,1.64,2.3,1.37,0,0
2022-10-23,E0,14:00,Southampton,Arsenal,D,A,R Jones,2022/2023,40.0,60.0,3,3,47.37,0.8,47.37,1.0,1.2,1.8,1.72,2.2,1.0,0,0
2022-11-06,E0,12:00,Chelsea,Arsenal,A,D,M Oliver,2022/2023,60.0,40.0,1,2,36.84,0.8,47.37,1.6,0.8,1.4,2.01,1.96,1.05,0,0
2022-11-12,E0,19:45,Wolves,Arsenal,A,D,S Attwell,2022/2023,60.0,20.0,2,4,26.32,0.2,47.37,0.6,2.4,1.6,1.97,1.98,1.0,0,0
2022-12-31,E0,17:30,Brighton,Arsenal,A,A,A Taylor,2022/2023,60.0,20.0,5,7,52.63,0.6,47.37,1.4,1.6,1.8,1.96,2.01,1.95,0,1
2023-01-15,E0,16:30,Tottenham,Arsenal,A,A,C Pawson,2022/2023,60.0,20.0,7,5,57.89,0.6,47.37,1.2,2.2,2.0,2.03,1.94,1.95,0,0
2023-02-04,E0,12:30,Everton,Arsenal,H,D,D Coote,2022/2023,60.0,20.0,4,3,42.11,0.6,47.37,0.8,2.0,1.8,2.09,1.83,0.84,0,0
2023-02-18,E0,12:30,Aston Villa,Arsenal,A,H,S Hooper,2022/2023,80.0,40.0,5,5,57.89,1.0,47.37,1.6,2.6,2.4,2.01,1.91,1.74,0,1
2023-02-25,E0,15:00,Leicester,Arsenal,A,D,C Pawson,2022/2023,60.0,40.0,0,2,63.16,1.0,47.37,1.2,1.6,2.2,1.77,2.1,1.21,0,0
2023-03-12,E0,14:00,Fulham,Arsenal,A,A,D Coote,2022/2023,40.0,40.0,2,7,73.68,0.6,47.37,1.0,1.2,2.0,1.84,2.1,1.63,0,1
