Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Season,Last5HomeOver2.5Perc,MaxCAHA,Last5AwayOver2.5Perc,HST,Last5HomeOver2.5Count,AST,Last5AwayOver2.5Count,HomeOver2.5Perc,AwayOver2.5Perc,AvgLast5HomeGoalsConceded,AvgLast5AwayGoalsConceded,AvgLast5HomeGoalsScored,AvgLast5AwayGoalsScored,B365CD,AvgAwayGoalsConceded,AvgHomeGoalsScored,AvgC>2.5,HS,Over2.5
2022-08-05,F1,20:00,Lyon,Ajaccio,H,H,2022/2023,100.0,1.96,100.0,6,1.0,4,1.0,57.89,68.42,1.0,2.0,2.0,1.0,5.0,2.32,1.84,1.64,11,1
2022-08-21,F1,16:05,Rennes,Ajaccio,H,H,2022/2023,50.0,2.06,100.0,7,1.0,3,2.0,68.42,68.42,1.0,2.0,1.0,1.0,4.33,2.32,2.26,2.05,16,1
2022-08-31,F1,18:00,Montpellier,Ajaccio,H,H,2022/2023,66.67,2.1,66.67,4,2.0,0,2.0,68.42,68.42,1.33,2.0,2.0,0.67,3.1,2.32,1.53,2.31,9,0
2022-09-18,F1,14:00,Brest,Ajaccio,A,D,2022/2023,25.0,2.15,50.0,4,1.0,4,2.0,52.63,68.42,2.5,1.5,0.5,0.75,3.3,2.32,1.26,2.47,8,0
2022-10-08,F1,16:00,Marseille,Ajaccio,A,D,2022/2023,60.0,2.2,60.0,2,3.0,1,3.0,68.42,68.42,1.0,1.4,1.4,1.0,4.0,2.32,1.84,2.11,10,1
2022-10-16,F1,14:00,Troyes,Ajaccio,D,D,2022/2023,60.0,2.0,40.0,2,3.0,7,2.0,42.11,68.42,1.6,1.2,1.4,1.0,3.2,2.32,1.0,2.36,9,0
2022-10-30,F1,12:00,Auxerre,Ajaccio,H,H,2022/2023,20.0,2.03,20.0,5,1.0,1,1.0,42.11,68.42,1.4,1.0,0.8,0.8,3.1,2.32,0.95,2.44,18,0
2022-11-13,F1,14:00,Nantes,Ajaccio,D,D,2022/2023,60.0,2.08,40.0,5,3.0,4,2.0,47.37,68.42,1.4,1.0,1.4,1.2,3.2,2.32,1.05,2.36,15,1
2023-01-01,F1,14:00,Toulouse,Ajaccio,H,D,2022/2023,60.0,2.11,40.0,4,3.0,0,2.0,47.37,68.42,1.6,1.4,2.2,1.0,3.3,2.32,1.42,2.02,11,0
2023-01-15,F1,16:05,Monaco,Ajaccio,H,H,2022/2023,40.0,2.02,40.0,8,2.0,2,2.0,68.42,68.42,1.0,2.6,2.6,0.8,4.75,2.32,1.95,1.88,11,1
