Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Season,Last5AwayOver2.5Perc,MaxAHH,Last5HomeOver2.5Perc,HST,Last5AwayOver2.5Count,Last5HomeOver2.5Count,AST,HomeOver2.5Perc,AwayOver2.5Perc,AvgLast5AwayGoalsConceded,AvgLast5HomeGoalsScored,AvgLast5AwayGoalsScored,AvgLast5HomeGoalsConceded,MaxC>2.5,AS,AvgAwayGoalsScored,AvgHomeGoalsScored,Over2.5
2022-08-13,I1,17:30,Sampdoria,Atalanta,A,A,2022/2023,0.0,1.93,0.0,1,0.0,0.0,3,31.58,42.11,0.0,0.0,2.0,2.0,1.73,9,1.47,0.63,0
2022-08-28,I1,17:30,Verona,Atalanta,A,D,2022/2023,0.0,1.91,50.0,2,0.0,1.0,7,52.63,42.11,0.0,1.0,1.5,3.0,1.67,15,1.47,1.05,0
2022-09-05,I1,17:30,Monza,Atalanta,A,D,2022/2023,0.0,2.18,66.67,3,0.0,2.0,6,42.11,42.11,0.0,0.67,1.67,2.0,1.73,13,1.47,1.32,0
2022-09-18,I1,17:00,Roma,Atalanta,A,A,2022/2023,0.0,2.14,33.33,5,0.0,1.0,1,36.84,42.11,0.0,1.33,1.5,0.33,2.01,4,1.47,1.47,0
2022-10-09,I1,14:00,Udinese,Atalanta,D,A,2022/2023,20.0,1.91,60.0,2,1.0,3.0,5,52.63,42.11,0.4,2.0,1.6,0.6,1.9,9,1.47,1.58,1
2022-10-30,I1,11:30,Empoli,Atalanta,A,A,2022/2023,20.0,1.87,40.0,3,1.0,2.0,6,42.11,42.11,0.4,0.8,1.6,1.6,1.71,20,1.47,1.16,0
2022-11-09,I1,17:30,Lecce,Atalanta,H,H,2022/2023,40.0,1.87,20.0,3,2.0,1.0,4,36.84,42.11,0.8,1.0,1.6,1.0,2.28,12,1.47,0.95,1
2023-01-04,I1,13:30,Spezia,Atalanta,D,H,2022/2023,60.0,2.02,80.0,3,3.0,4.0,3,52.63,42.11,1.2,1.6,1.6,1.6,1.78,19,1.47,0.95,1
2023-01-09,I1,19:45,Bologna,Atalanta,A,H,2022/2023,80.0,2.04,60.0,3,4.0,3.0,3,31.58,42.11,1.4,1.8,1.8,0.8,2.13,7,1.47,1.26,1
2023-01-22,I1,19:45,Juventus,Atalanta,D,H,2022/2023,80.0,1.88,60.0,8,4.0,3.0,4,47.37,42.11,1.6,2.6,2.0,0.6,2.05,14,1.47,2.0,1
2023-02-04,I1,19:45,Sassuolo,Atalanta,H,D,2022/2023,80.0,1.97,40.0,8,4.0,2.0,2,47.37,42.11,1.8,1.0,1.6,1.2,1.64,7,1.47,1.26,0
2023-02-11,I1,19:45,Lazio,Atalanta,A,A,2022/2023,60.0,2.1,40.0,5,3.0,2.0,10,52.63,42.11,1.4,1.6,1.8,1.0,2.1,23,1.47,1.68,0
2023-02-26,I1,19:45,Milan,Atalanta,H,H,2022/2023,40.0,1.92,60.0,3,2.0,3.0,0,52.63,42.11,1.4,1.8,1.4,1.6,2.15,3,1.47,2.16,0
2023-03-11,I1,17:00,Napoli,Atalanta,H,D,2022/2023,20.0,1.89,60.0,6,1.0,3.0,3,52.63,42.11,1.6,2.4,1.0,0.6,1.96,6,1.47,2.11,0
2023-04-01,I1,14:00,Cremonese,Atalanta,A,A,2022/2023,20.0,2.1,60.0,4,1.0,3.0,4,42.11,42.11,1.2,0.8,1.0,2.0,1.89,12,1.47,0.79,1
2023-04-17,I1,19:45,Fiorentina,Atalanta,D,A,2022/2023,20.0,2.11,20.0,7,1.0,1.0,1,47.37,42.11,1.2,1.2,1.2,0.8,1.93,6,1.47,1.58,0
2023-04-29,I1,19:45,Torino,Atalanta,A,A,2022/2023,40.0,1.8,40.0,4,2.0,2.0,5,21.05,42.11,1.4,0.6,1.2,1.6,2.35,9,1.47,0.79,1
2023-05-13,I1,14:00,Salernitana,Atalanta,H,D,2022/2023,40.0,2.06,60.0,4,2.0,3.0,3,63.16,42.11,1.2,2.0,1.2,1.2,1.78,13,1.47,1.58,0
2023-05-27,I1,19:45,Inter,Atalanta,H,H,2022/2023,60.0,2.14,60.0,11,3.0,3.0,3,47.37,42.11,1.4,2.0,1.6,1.4,1.88,11,1.47,1.95,1
2023-08-20,I1,17:30,Sassuolo,Atalanta,A,D,2023/2024,0.0,2.08,0.0,3,0.0,0.0,6,47.37,63.16,0.0,0.0,2.0,2.0,1.75,16,1.58,1.21,0
2023-08-26,I1,17:30,Frosinone,Atalanta,H,H,2023/2024,50.0,2.07,100.0,5,1.0,2.0,6,73.68,63.16,1.0,1.5,1.5,2.0,1.79,18,1.58,1.47,1
2023-09-17,I1,17:00,Fiorentina,Atalanta,H,H,2023/2024,66.67,1.85,100.0,8,2.0,2.0,4,68.42,63.16,1.67,2.5,1.67,2.0,1.96,11,1.58,1.95,1
2023-09-27,I1,17:30,Verona,Atalanta,A,A,2023/2024,50.0,2.1,33.33,2,2.0,1.0,2,57.89,63.16,1.25,0.67,1.5,0.67,2.13,8,1.58,1.21,0
2023-10-08,I1,14:00,Lazio,Atalanta,H,H,2023/2024,60.0,2.09,25.0,4,3.0,1.0,4,26.32,63.16,1.6,1.5,1.6,1.0,2.23,12,1.58,1.21,1
2023-10-30,I1,17:30,Empoli,Atalanta,A,A,2023/2024,80.0,2.02,20.0,2,4.0,1.0,6,31.58,63.16,1.6,0.2,1.8,1.2,1.75,18,1.58,0.79,1
2023-11-12,I1,14:00,Udinese,Atalanta,D,H,2023/2024,60.0,1.88,20.0,4,3.0,1.0,2,47.37,63.16,1.4,0.8,1.8,1.2,2.01,8,1.58,1.11,0
2023-12-04,I1,19:45,Torino,Atalanta,H,H,2023/2024,60.0,1.8,60.0,5,3.0,3.0,4,26.32,63.16,1.4,1.2,1.4,1.0,2.35,10,1.58,0.95,1
2023-12-23,I1,14:00,Bologna,Atalanta,H,D,2023/2024,60.0,1.97,20.0,1,3.0,1.0,2,36.84,63.16,1.6,1.6,1.2,0.2,2.51,12,1.58,1.74,0
2024-01-07,I1,19:45,Roma,Atalanta,D,D,2023/2024,40.0,2.06,40.0,6,2.0,2.0,2,52.63,63.16,1.2,1.8,1.0,0.8,2.41,8,1.58,2.0,0
2024-02-11,I1,17:00,Genoa,Atalanta,A,A,2023/2024,40.0,1.83,40.0,6,2.0,2.0,9,42.11,63.16,1.4,1.0,1.2,1.4,2.38,14,1.58,1.42,1
2024-02-25,I1,19:45,Milan,Atalanta,D,D,2023/2024,40.0,2.09,40.0,7,2.0,2.0,3,52.63,63.16,1.4,1.6,1.2,0.8,1.84,8,1.58,2.0,0
2024-02-28,I1,19:45,Inter,Atalanta,H,H,2023/2024,40.0,1.85,60.0,7,2.0,3.0,1,52.63,63.16,1.6,2.6,1.2,0.2,1.78,6,1.58,2.32,1
2024-03-10,I1,17:00,Juventus,Atalanta,D,A,2023/2024,60.0,1.99,60.0,5,3.0,3.0,3,26.32,63.16,1.8,1.8,1.6,1.2,2.36,7,1.58,1.37,1
2024-03-30,I1,11:30,Napoli,Atalanta,A,A,2023/2024,80.0,1.86,60.0,6,4.0,3.0,6,63.16,63.16,1.6,1.2,2.0,1.4,1.93,12,1.58,1.26,1
2024-04-07,I1,17:00,Cagliari,Atalanta,H,D,2023/2024,80.0,1.99,60.0,3,4.0,3.0,2,63.16,63.16,1.8,1.8,1.4,1.6,1.94,7,1.58,1.47,1
2024-04-21,I1,19:45,Monza,Atalanta,A,A,2023/2024,100.0,2.02,80.0,2,5.0,4.0,6,42.11,63.16,1.8,1.8,1.6,2.4,1.94,12,1.58,1.21,1
2024-05-06,I1,17:00,Salernitana,Atalanta,A,H,2023/2024,100.0,1.92,40.0,2,5.0,2.0,4,68.42,63.16,1.2,0.6,2.0,1.8,1.54,17,1.58,0.89,1
2024-05-18,I1,17:00,Lecce,Atalanta,A,D,2023/2024,80.0,1.89,0.0,3,4.0,0.0,9,36.84,63.16,0.8,0.4,2.0,1.0,1.94,19,1.58,0.89,0
2024-08-19,I1,17:30,Lecce,Atalanta,A,A,2024/2025,100.0,2.03,100.0,5,1.0,1.0,6,66.67,75.0,0.0,0.0,4.0,4.0,2.12,10,1.5,1.0,1
