Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Season,Last5AwayOver2.5Perc,AHCh,Last5HomeOver2.5Perc,HST,AwayOver2.5Perc,AST,HomeOver2.5Perc,AvgLast5HomeGoalsScored,AvgLast5AwayGoalsConceded,AvgLast5AwayGoalsScored,AvgC>2.5,AvgLast5HomeGoalsConceded,PC<2.5,AR,AvgHomeGoalsScored,Over2.5
2023-08-14,SP1,18:30,Cadiz,Alaves,H,H,2023/2024,0.0,-0.25,0.0,3,31.58,2,26.32,1.0,1.0,0.0,2.86,0.0,1.41,0,0.84,0
2023-08-28,SP1,18:30,Getafe,Alaves,H,D,2023/2024,0.0,-0.25,0.0,4,31.58,2,31.58,0.5,1.0,0.0,3.78,0.0,1.27,0,1.05,0
2023-09-15,SP1,20:00,Vallecano,Alaves,H,H,2023/2024,0.0,-0.5,50.0,11,31.58,1,36.84,1.0,1.33,0.0,2.61,3.5,1.52,0,0.95,0
2023-09-28,SP1,18:00,Celta,Alaves,D,H,2023/2024,0.0,-0.75,0.0,0,31.58,11,42.11,0.25,1.25,0.25,2.23,1.25,1.74,0,1.11,0
2023-10-22,SP1,17:30,Villarreal,Alaves,D,D,2023/2024,0.0,-0.5,80.0,3,31.58,7,73.68,1.6,1.2,0.4,2.06,2.0,1.79,0,1.89,0
2023-10-29,SP1,20:00,Ath Madrid,Alaves,H,H,2023/2024,20.0,-1.25,100.0,7,31.58,1,78.95,2.6,1.4,0.6,1.92,1.2,1.91,0,2.21,1
2023-11-12,SP1,15:15,Barcelona,Alaves,H,A,2023/2024,40.0,-1.75,60.0,6,31.58,1,57.89,1.6,1.6,0.8,1.6,1.0,2.41,0,2.26,1
2023-12-03,SP1,13:00,Mallorca,Alaves,D,D,2023/2024,40.0,0.0,20.0,3,31.58,4,26.32,0.8,1.2,0.8,2.86,0.8,1.42,0,0.89,0
2023-12-18,SP1,20:00,Girona,Alaves,H,H,2023/2024,60.0,-1.0,60.0,4,31.58,2,68.42,2.4,1.6,0.6,1.77,0.8,2.08,0,2.79,1
2024-01-02,SP1,18:15,Sociedad,Alaves,D,D,2023/2024,60.0,-1.0,20.0,6,31.58,2,31.58,0.8,1.6,0.6,2.32,0.6,1.63,0,1.37,0
2024-01-12,SP1,20:00,Sevilla,Alaves,A,A,2023/2024,60.0,-0.5,40.0,4,31.58,8,57.89,0.8,1.6,1.0,2.38,2.0,1.59,0,1.42,1
2024-01-26,SP1,20:00,Almeria,Alaves,A,A,2023/2024,60.0,0.0,40.0,7,31.58,3,68.42,0.2,1.2,1.4,2.34,1.2,1.62,0,1.16,1
2024-02-18,SP1,20:00,Betis,Alaves,D,D,2023/2024,60.0,-0.25,20.0,2,31.58,4,36.84,1.0,1.2,1.4,2.45,1.2,1.55,0,1.42,0
2024-03-04,SP1,20:00,Osasuna,Alaves,H,D,2023/2024,40.0,-0.25,40.0,4,31.58,4,26.32,1.4,0.8,1.4,2.68,1.0,1.49,0,1.0,0
2024-03-16,SP1,20:00,Ath Bilbao,Alaves,H,H,2023/2024,40.0,-1.0,60.0,4,31.58,3,57.89,2.2,1.0,1.2,2.29,0.6,1.65,0,2.21,0
2024-04-14,SP1,15:15,Granada,Alaves,H,H,2023/2024,20.0,0.0,20.0,3,31.58,3,47.37,1.2,1.0,0.6,2.38,1.2,1.6,0,1.26,0
2024-05-05,SP1,17:30,Valencia,Alaves,A,D,2023/2024,0.0,-0.25,40.0,1,31.58,4,36.84,0.8,1.0,0.2,2.55,1.0,1.54,0,1.05,0
2024-05-14,SP1,20:30,Real Madrid,Alaves,H,H,2023/2024,20.0,-2.0,80.0,11,31.58,10,57.89,3.4,2.0,0.2,1.46,0.4,2.79,0,2.53,1
